date,worth,y
2017/1/6,1.0001,1
2017/1/13,1.0009,1.00079992
2017/1/20,1.0016,1.00149985
2017/1/26,1.0022,1.00209979
2017/2/3,1.003,1.00289971
2017/2/6,1.0033,1.00319968
2017/2/7,1.0038,1.00369963
2017/2/8,1.0042,1.00409959
2017/2/9,1.0042,1.00409959
2017/2/10,1.0061,1.0059994
2017/2/13,1.0074,1.00729927
2017/2/14,1.0089,1.00879912
2017/2/15,1.0087,1.00859914
2017/2/16,1.0089,1.00879912
2017/2/17,1.0075,1.00739926
2017/2/20,1.0091,1.0089991
2017/2/21,1.0098,1.00969903
2017/2/22,1.0113,1.01119888
2017/2/23,1.0106,1.01049895
2017/2/24,1.0116,1.01149885
2017/2/27,1.0117,1.01159884
2017/2/28,1.012,1.01189881
2017/3/1,1.0118,1.01169883
2017/3/2,1.0122,1.01209879
2017/3/3,1.0125,1.01239876
2017/3/6,1.0133,1.01319868
2017/3/7,1.0137,1.01359864
2017/3/8,1.0137,1.01359864
2017/3/9,1.0125,1.01239876
2017/3/10,1.0132,1.01309869
2017/3/13,1.0143,1.01419858
2017/3/14,1.0138,1.01369863
2017/3/15,1.0136,1.01349865
2017/3/16,1.0138,1.01369863
2017/3/17,1.0136,1.01349865
2017/3/20,1.0137,1.01359864
2017/3/21,1.0138,1.01369863
2017/3/22,1.0139,1.01379862
2017/3/23,1.0139,1.01379862
2017/3/24,1.0139,1.01379862
2017/3/27,1.0147,1.01459854
2017/3/28,1.0147,1.01459854
2017/3/29,1.0148,1.01469853
2017/3/30,1.0147,1.01459854
2017/3/31,1.0146,1.01449855
2017/4/5,1.0165,1.01639836
2017/4/6,1.0167,1.01659834
2017/4/7,1.0168,1.01669833
2017/4/10,1.0171,1.0169983
2017/4/11,1.0172,1.01709829
2017/4/12,1.0172,1.01709829
2017/4/13,1.0176,1.01749825
2017/4/14,1.0177,1.01759824
2017/4/17,1.0174,1.01729827
2017/4/18,1.0167,1.01659834
2017/4/19,1.0165,1.01639836
2017/4/20,1.0167,1.01659834
2017/4/21,1.0169,1.01679832
2017/4/24,1.0155,1.01539846
2017/4/25,1.0159,1.01579842
2017/4/26,1.0162,1.01609839
2017/4/27,1.0171,1.0169983
2017/4/28,1.0175,1.01739826
2017/5/2,1.018,1.01789821
2017/5/3,1.017,1.01689831
2017/5/4,1.0171,1.0169983
2017/5/5,1.0164,1.01629837
2017/5/8,1.0162,1.01609839
2017/5/9,1.0164,1.01629837
2017/5/10,1.0164,1.01629837
2017/5/11,1.0167,1.01659834
2017/5/12,1.0163,1.01619838
2017/5/15,1.017,1.01689831
2017/5/16,1.0174,1.01729827
2017/5/17,1.0189,1.01879812
2017/5/18,1.0185,1.01839816
2017/5/19,1.0182,1.01809819
2017/5/22,1.0172,1.01709829
2017/5/23,1.0173,1.01719828
2017/5/24,1.0175,1.01739826
2017/5/25,1.0194,1.01929807
2017/5/26,1.0193,1.01919808
2017/5/31,1.0198,1.01969803
2017/6/1,1.02,1.01989801
2017/6/2,1.0202,1.02009799
2017/6/5,1.0216,1.02149785
2017/6/6,1.022,1.02189781
2017/6/7,1.0253,1.02519748
2017/6/8,1.0258,1.02569743
2017/6/9,1.0264,1.02629737
2017/6/12,1.0272,1.02709729
2017/6/13,1.0282,1.02809719
2017/6/14,1.0278,1.02769723
2017/6/15,1.0285,1.02839716
2017/6/16,1.0274,1.02729727
2017/6/19,1.0296,1.02949705
2017/6/20,1.0298,1.02969703
2017/6/21,1.0307,1.03059694
2017/6/22,1.0309,1.03079692
2017/6/23,1.0312,1.03109689
2017/6/26,1.0352,1.03509649
2017/6/27,1.0363,1.03619638
2017/6/28,1.0381,1.0379962
2017/6/29,1.0398,1.03969603
