date,worth,y
2017/1/6,1.118,1
2017/1/9,1.119,1.000894454
2017/1/10,1.119,1.000894454
2017/1/11,1.119,1.000894454
2017/1/12,1.118,1
2017/1/13,1.118,1
2017/1/16,1.118,1
2017/1/17,1.118,1
2017/1/18,1.119,1.000894454
2017/1/19,1.118,1
2017/1/20,1.12,1.001788909
2017/1/23,1.12,1.001788909
2017/1/24,1.121,1.002683363
2017/1/25,1.121,1.002683363
2017/1/26,1.121,1.002683363
2017/2/3,1.12,1.001788909
2017/2/6,1.12,1.001788909
2017/2/7,1.119,1.000894454
2017/2/8,1.119,1.000894454
2017/2/9,1.121,1.002683363
2017/2/10,1.121,1.002683363
2017/2/13,1.122,1.003577818
2017/2/14,1.123,1.004472272
2017/2/15,1.122,1.003577818
2017/2/16,1.122,1.003577818
2017/2/17,1.122,1.003577818
2017/2/20,1.126,1.007155635
2017/2/21,1.126,1.007155635
2017/2/22,1.127,1.008050089
2017/2/23,1.127,1.008050089
2017/2/24,1.127,1.008050089
2017/2/27,1.126,1.007155635
2017/2/28,1.127,1.008050089
2017/3/1,1.128,1.008944544
2017/3/2,1.127,1.008050089
2017/3/3,1.127,1.008050089
2017/3/6,1.129,1.009838998
2017/3/7,1.129,1.009838998
2017/3/8,1.129,1.009838998
2017/3/9,1.128,1.008944544
2017/3/10,1.128,1.008944544
2017/3/13,1.131,1.011627907
2017/3/14,1.131,1.011627907
2017/3/15,1.132,1.012522361
2017/3/16,1.135,1.015205725
2017/3/17,1.132,1.012522361
2017/3/20,1.131,1.011627907
2017/3/21,1.132,1.012522361
2017/3/22,1.131,1.011627907
2017/3/23,1.131,1.011627907
2017/3/24,1.132,1.012522361
2017/3/27,1.133,1.013416816
2017/3/28,1.133,1.013416816
2017/3/29,1.132,1.012522361
2017/3/30,1.131,1.011627907
2017/3/31,1.133,1.013416816
2017/4/5,1.137,1.016994633
2017/4/6,1.139,1.018783542
2017/4/7,1.139,1.018783542
2017/4/10,1.14,1.019677996
2017/4/11,1.141,1.020572451
2017/4/12,1.142,1.021466905
2017/4/13,1.142,1.021466905
2017/4/14,1.14,1.019677996
2017/4/17,1.14,1.019677996
2017/4/18,1.138,1.017889088
2017/4/19,1.137,1.016994633
2017/4/20,1.138,1.017889088
2017/4/21,1.138,1.017889088
2017/4/24,1.137,1.016994633
2017/4/25,1.136,1.016100179
2017/4/26,1.137,1.016994633
2017/4/27,1.138,1.017889088
2017/4/28,1.138,1.017889088
2017/5/2,1.137,1.016994633
2017/5/3,1.136,1.016100179
2017/5/4,1.135,1.015205725
2017/5/5,1.134,1.01431127
2017/5/8,1.133,1.013416816
2017/5/9,1.133,1.013416816
2017/5/10,1.132,1.012522361
2017/5/11,1.133,1.013416816
2017/5/12,1.135,1.015205725
2017/5/15,1.136,1.016100179
2017/5/16,1.137,1.016994633
2017/5/17,1.136,1.016100179
2017/5/18,1.137,1.016994633
2017/5/19,1.137,1.016994633
2017/5/22,1.138,1.017889088
2017/5/23,1.138,1.017889088
2017/5/24,1.138,1.017889088
2017/5/25,1.141,1.020572451
2017/5/26,1.141,1.020572451
2017/5/31,1.142,1.021466905
2017/6/1,1.143,1.02236136
2017/6/2,1.142,1.021466905
2017/6/5,1.141,1.020572451
2017/6/6,1.143,1.02236136
2017/6/7,1.146,1.025044723
2017/6/8,1.147,1.025939177
2017/6/9,1.148,1.026833631
2017/6/12,1.148,1.026833631
2017/6/13,1.149,1.027728086
2017/6/14,1.147,1.025939177
2017/6/15,1.148,1.026833631
2017/6/16,1.147,1.025939177
2017/6/19,1.15,1.02862254
2017/6/20,1.15,1.02862254
2017/6/21,1.152,1.030411449
2017/6/22,1.152,1.030411449
2017/6/23,1.154,1.032200358
2017/6/26,1.157,1.034883721
2017/6/27,1.159,1.03667263
2017/6/28,1.158,1.035778175
2017/6/29,1.16,1.037567084
2017/6/30,1.16,1.037567084
2017/7/3,1.16,1.037567084
2017/7/4,1.158,1.035778175
2017/7/5,1.161,1.038461538
2017/7/6,1.16,1.037567084
2017/7/7,1.161,1.038461538
2017/7/10,1.161,1.038461538
2017/7/11,1.162,1.039355993
2017/7/12,1.162,1.039355993
2017/7/13,1.163,1.040250447
2017/7/14,1.163,1.040250447
2017/7/17,1.161,1.038461538
2017/7/18,1.161,1.038461538
2017/7/19,1.163,1.040250447
2017/7/20,1.165,1.042039356
2017/7/21,1.165,1.042039356
2017/7/24,1.166,1.04293381
2017/7/25,1.165,1.042039356
2017/7/26,1.166,1.04293381
2017/7/27,1.167,1.043828265
2017/7/28,1.168,1.044722719
2017/7/31,1.168,1.044722719
2017/8/1,1.169,1.045617174
2017/8/2,1.168,1.044722719
2017/8/3,1.166,1.04293381
2017/8/4,1.164,1.041144902
2017/8/7,1.165,1.042039356
2017/8/8,1.166,1.04293381
2017/8/9,1.167,1.043828265
2017/8/10,1.166,1.04293381
2017/8/11,1.164,1.041144902
2017/8/14,1.165,1.042039356
2017/8/15,1.166,1.04293381
2017/8/16,1.167,1.043828265
2017/8/17,1.167,1.043828265
2017/8/18,1.168,1.044722719
2017/8/21,1.169,1.045617174
2017/8/22,1.17,1.046511628
2017/8/23,1.169,1.045617174
2017/8/24,1.168,1.044722719
2017/8/25,1.171,1.047406082
2017/8/28,1.173,1.049194991
2017/8/29,1.173,1.049194991
2017/8/30,1.173,1.049194991
2017/8/31,1.171,1.047406082
2017/9/1,1.172,1.048300537
2017/9/4,1.172,1.048300537
2017/9/5,1.174,1.050089445
2017/9/6,1.173,1.049194991
2017/9/7,1.175,1.0509839
2017/9/8,1.175,1.0509839
2017/9/11,1.174,1.050089445
2017/9/12,1.174,1.050089445
2017/9/13,1.175,1.0509839
2017/9/14,1.176,1.051878354
2017/9/15,1.177,1.052772809
2017/9/18,1.178,1.053667263
2017/9/19,1.178,1.053667263
2017/9/20,1.178,1.053667263
2017/9/21,1.178,1.053667263
2017/9/22,1.178,1.053667263
2017/9/25,1.176,1.051878354
2017/9/26,1.176,1.051878354
2017/9/27,1.175,1.0509839
2017/9/28,1.174,1.050089445
