date,worth,y
2017/1/6,1.706,1
2017/1/9,1.706,1
2017/1/10,1.708,1.001172333
2017/1/11,1.707,1.000586166
2017/1/12,1.706,1
2017/1/13,1.702,0.997655334
2017/1/16,1.7,0.996483001
2017/1/17,1.701,0.997069168
2017/1/18,1.702,0.997655334
2017/1/19,1.7,0.996483001
2017/1/20,1.703,0.998241501
2017/1/23,1.705,0.999413834
2017/1/24,1.704,0.998827667
2017/1/25,1.703,0.998241501
2017/1/26,1.705,0.999413834
2017/2/3,1.705,0.999413834
2017/2/6,1.705,0.999413834
2017/2/7,1.706,1
2017/2/8,1.706,1
2017/2/9,1.707,1.000586166
2017/2/10,1.705,0.999413834
2017/2/13,1.706,1
2017/2/14,1.706,1
2017/2/15,1.703,0.998241501
2017/2/16,1.705,0.999413834
2017/2/17,1.705,0.999413834
2017/2/20,1.706,1
2017/2/21,1.707,1.000586166
2017/2/22,1.708,1.001172333
2017/2/23,1.71,1.002344666
2017/2/24,1.711,1.002930832
2017/2/27,1.712,1.003516999
2017/2/28,1.711,1.002930832
2017/3/1,1.711,1.002930832
2017/3/2,1.709,1.001758499
2017/3/3,1.707,1.000586166
2017/3/6,1.707,1.000586166
2017/3/7,1.708,1.001172333
2017/3/8,1.707,1.000586166
2017/3/9,1.704,0.998827667
2017/3/10,1.703,0.998241501
2017/3/13,1.706,1
2017/3/14,1.707,1.000586166
2017/3/15,1.708,1.001172333
2017/3/16,1.711,1.002930832
2017/3/17,1.709,1.001758499
2017/3/20,1.709,1.001758499
2017/3/21,1.708,1.001172333
2017/3/22,1.71,1.002344666
2017/3/23,1.711,1.002930832
2017/3/24,1.712,1.003516999
2017/3/27,1.717,1.006447831
2017/3/28,1.715,1.005275498
2017/3/29,1.714,1.004689332
2017/3/30,1.709,1.001758499
2017/3/31,1.71,1.002344666
2017/4/5,1.712,1.003516999
2017/4/6,1.712,1.003516999
2017/4/7,1.717,1.006447831
2017/4/10,1.715,1.005275498
2017/4/11,1.718,1.007033998
2017/4/12,1.717,1.006447831
2017/4/13,1.717,1.006447831
2017/4/14,1.718,1.007033998
2017/4/17,1.709,1.001758499
2017/4/18,1.707,1.000586166
2017/4/19,1.705,0.999413834
2017/4/20,1.702,0.997655334
2017/4/21,1.702,0.997655334
2017/4/24,1.693,0.992379836
2017/4/25,1.696,0.994138335
2017/4/26,1.695,0.993552169
2017/4/27,1.696,0.994138335
2017/4/28,1.696,0.994138335
2017/5/2,1.693,0.992379836
2017/5/3,1.689,0.99003517
2017/5/4,1.685,0.987690504
2017/5/5,1.684,0.987104338
2017/5/8,1.68,0.984759672
2017/5/9,1.678,0.983587339
2017/5/10,1.672,0.98007034
2017/5/11,1.674,0.981242673
2017/5/12,1.674,0.981242673
2017/5/15,1.678,0.983587339
2017/5/16,1.678,0.983587339
2017/5/17,1.678,0.983587339
2017/5/18,1.679,0.984173505
2017/5/19,1.678,0.983587339
2017/5/22,1.676,0.982415006
2017/5/23,1.675,0.981828839
2017/5/24,1.676,0.982415006
2017/5/25,1.677,0.983001172
2017/5/26,1.678,0.983587339
2017/5/31,1.68,0.984759672
2017/6/1,1.679,0.984173505
2017/6/2,1.68,0.984759672
2017/6/5,1.685,0.987690504
2017/6/6,1.685,0.987690504
2017/6/7,1.688,0.989449004
2017/6/8,1.689,0.99003517
2017/6/9,1.689,0.99003517
2017/6/12,1.693,0.992379836
2017/6/13,1.697,0.994724502
2017/6/14,1.698,0.995310668
2017/6/15,1.699,0.995896835
2017/6/16,1.698,0.995310668
2017/6/19,1.704,0.998827667
2017/6/20,1.708,1.001172333
2017/6/21,1.707,1.000586166
2017/6/22,1.702,0.997655334
2017/6/23,1.703,0.998241501
2017/6/26,1.706,1
2017/6/27,1.709,1.001758499
2017/6/28,1.709,1.001758499
2017/6/29,1.71,1.002344666
2017/6/30,1.709,1.001758499
2017/7/3,1.708,1.001172333
2017/7/4,1.707,1.000586166
2017/7/5,1.708,1.001172333
