date,worth,y
2017/1/6,1.184,1
2017/1/13,1.183,0.999155405
2017/1/20,1.182,0.998310811
2017/1/26,1.185,1.000844595
2017/2/3,1.184,1
2017/2/10,1.183,0.999155405
2017/2/13,1.185,1.000844595
2017/2/14,1.186,1.001689189
2017/2/15,1.185,1.000844595
2017/2/17,1.185,1.000844595
2017/2/24,1.188,1.003378378
2017/3/3,1.188,1.003378378
2017/3/10,1.189,1.004222973
2017/3/17,1.19,1.005067568
2017/3/24,1.193,1.007601351
2017/3/31,1.186,1.001689189
2017/4/7,1.19,1.005067568
2017/4/14,1.189,1.004222973
2017/4/21,1.189,1.004222973
2017/4/28,1.186,1.001689189
2017/5/5,1.182,0.998310811
2017/5/12,1.18,0.996621622
2017/5/19,1.181,0.997466216
2017/5/26,1.182,0.998310811
2017/6/2,1.181,0.997466216
2017/6/9,1.184,1
2017/6/16,1.186,1.001689189
2017/6/23,1.191,1.005912162
2017/6/30,1.197,1.01097973
2017/7/7,1.199,1.012668919
2017/7/14,1.2,1.013513514
2017/7/21,1.201,1.014358108
2017/7/28,1.203,1.016047297
2017/8/4,1.202,1.015202703
2017/8/11,1.2,1.013513514
2017/8/15,1.203,1.016047297
2017/8/16,1.204,1.016891892
2017/8/17,1.203,1.016047297
2017/8/18,1.203,1.016047297
2017/8/25,1.203,1.016047297
2017/8/30,1.205,1.017736486
2017/9/1,1.206,1.018581081
2017/9/8,1.207,1.019425676
2017/9/15,1.213,1.024493243
2017/9/22,1.214,1.025337838
2017/9/29,1.217,1.027871622
2017/10/13,1.221,1.03125
2017/10/20,1.222,1.032094595
2017/10/27,1.228,1.037162162
2017/11/3,1.227,1.036317568
2017/11/10,1.237,1.044763514
2017/11/17,1.231,1.039695946
2017/11/24,1.224,1.033783784
2017/11/29,1.223,1.032939189
2017/12/1,1.222,1.032094595
2017/12/8,1.223,1.032939189
2017/12/15,1.224,1.033783784
2017/12/22,1.227,1.036317568
2017/12/29,1.227,1.036317568
2017/12/31,1.227,1.036317568
2018/1/5,1.234,1.04222973
2018/1/12,1.238,1.045608108
2018/1/19,1.24,1.047297297
2018/1/26,1.247,1.053209459
2018/2/2,1.243,1.049831081
2018/2/9,1.228,1.037162162
2018/2/14,1.234,1.04222973
2018/2/22,1.24,1.047297297
2018/2/23,1.24,1.047297297
2018/2/26,1.241,1.048141892
2018/3/2,1.233,1.041385135
2018/3/9,1.235,1.043074324
2018/3/16,1.234,1.04222973
2018/3/23,1.23,1.038851351
2018/3/30,1.234,1.04222973
2018/4/4,1.236,1.043918919
2018/4/13,1.239,1.046452703
2018/4/20,1.239,1.046452703
2018/4/27,1.241,1.048141892
2018/5/4,1.244,1.050675676
2018/5/11,1.245,1.05152027
2018/5/18,1.245,1.05152027
2018/5/25,1.247,1.053209459
2018/6/1,1.246,1.052364865
2018/6/8,1.248,1.054054054
2018/6/15,1.244,1.050675676
2018/6/22,1.243,1.049831081
2018/6/29,1.244,1.050675676
2018/6/30,1.244,1.050675676
2018/7/6,1.244,1.050675676
2018/7/13,1.254,1.059121622
2018/7/20,1.254,1.059121622
2018/7/27,1.258,1.0625
2018/8/3,1.257,1.061655405
2018/8/8,1.257,1.061655405
2018/8/10,1.257,1.061655405
2018/8/17,1.251,1.056587838
2018/8/24,1.253,1.058277027
2018/8/27,1.256,1.060810811
2018/8/28,1.256,1.060810811
2018/8/29,1.255,1.059966216
2018/8/31,1.255,1.059966216
2018/9/7,1.253,1.058277027
2018/9/14,1.25,1.055743243
2018/9/21,1.256,1.060810811
2018/9/28,1.259,1.063344595
2018/10/12,1.251,1.056587838
2018/10/19,1.254,1.059121622
2018/10/26,1.254,1.059121622
2018/11/2,1.255,1.059966216
2018/11/9,1.25,1.055743243
2018/11/16,1.253,1.058277027
2018/11/23,1.25,1.055743243
2018/11/30,1.25,1.055743243
2018/12/7,1.251,1.056587838
2018/12/14,1.251,1.056587838
2018/12/21,1.24,1.047297297
2018/12/28,1.243,1.049831081
2018/12/31,1.243,1.049831081
2019/1/4,1.247,1.053209459
2019/1/11,1.252,1.057432432
2019/1/18,1.255,1.059966216
2019/1/25,1.256,1.060810811
2019/2/1,1.259,1.063344595
2019/2/15,1.262,1.065878378
2019/2/22,1.268,1.070945946
2019/2/28,1.269,1.071790541
2019/3/1,1.269,1.071790541
2019/3/4,1.27,1.072635135
2019/3/5,1.27,1.072635135
2019/3/8,1.267,1.070101351
2019/3/15,1.269,1.071790541
2019/3/22,1.274,1.076013514
2019/3/29,1.279,1.080236486
2019/4/4,1.284,1.084459459
2019/4/12,1.273,1.075168919
2019/4/19,1.277,1.078547297
2019/4/26,1.274,1.076013514
2019/4/30,1.276,1.077702703
2019/5/10,1.274,1.076013514
2019/5/17,1.275,1.076858108
2019/5/24,1.271,1.07347973
2019/5/31,1.275,1.076858108
2019/6/6,1.27,1.072635135
2019/6/14,1.275,1.076858108
2019/6/21,1.283,1.083614865
