date,worth,y
2017/1/6,1.373,1
2017/1/9,1.375,1.001456664
2017/1/10,1.375,1.001456664
2017/1/11,1.374,1.000728332
2017/1/12,1.374,1.000728332
2017/1/13,1.373,1
2017/1/16,1.373,1
2017/1/17,1.373,1
2017/1/18,1.372,0.999271668
2017/1/19,1.37,0.997815004
2017/1/20,1.372,0.999271668
2017/1/23,1.373,1
2017/1/24,1.374,1.000728332
2017/1/25,1.375,1.001456664
2017/1/26,1.375,1.001456664
2017/2/3,1.374,1.000728332
2017/2/6,1.373,1
2017/2/7,1.371,0.998543336
2017/2/8,1.37,0.997815004
2017/2/9,1.371,0.998543336
2017/2/10,1.371,0.998543336
2017/2/13,1.372,0.999271668
2017/2/14,1.372,0.999271668
2017/2/15,1.37,0.997815004
2017/2/16,1.371,0.998543336
2017/2/17,1.371,0.998543336
2017/2/20,1.375,1.001456664
2017/2/21,1.375,1.001456664
2017/2/22,1.376,1.002184996
2017/2/23,1.376,1.002184996
2017/2/24,1.376,1.002184996
2017/2/27,1.375,1.001456664
2017/2/28,1.375,1.001456664
2017/3/1,1.375,1.001456664
2017/3/2,1.374,1.000728332
2017/3/3,1.375,1.001456664
2017/3/6,1.377,1.002913328
2017/3/7,1.377,1.002913328
2017/3/8,1.377,1.002913328
2017/3/9,1.375,1.001456664
2017/3/10,1.374,1.000728332
2017/3/13,1.377,1.002913328
2017/3/14,1.377,1.002913328
2017/3/15,1.377,1.002913328
2017/3/16,1.379,1.004369993
2017/3/17,1.377,1.002913328
2017/3/20,1.378,1.003641661
2017/3/21,1.379,1.004369993
2017/3/22,1.38,1.005098325
2017/3/23,1.381,1.005826657
2017/3/24,1.382,1.006554989
2017/3/27,1.382,1.006554989
2017/3/28,1.382,1.006554989
2017/3/29,1.379,1.004369993
2017/3/30,1.376,1.002184996
2017/3/31,1.374,1.000728332
2017/4/5,1.376,1.002184996
2017/4/6,1.377,1.002913328
2017/4/7,1.38,1.005098325
2017/4/10,1.38,1.005098325
2017/4/11,1.382,1.006554989
2017/4/12,1.383,1.007283321
2017/4/13,1.384,1.008011653
2017/4/14,1.383,1.007283321
2017/4/17,1.382,1.006554989
2017/4/18,1.381,1.005826657
2017/4/19,1.38,1.005098325
2017/4/20,1.38,1.005098325
2017/4/21,1.379,1.004369993
2017/4/24,1.376,1.002184996
2017/4/25,1.378,1.003641661
2017/4/26,1.378,1.003641661
2017/4/27,1.379,1.004369993
2017/4/28,1.378,1.003641661
2017/5/2,1.378,1.003641661
2017/5/3,1.376,1.002184996
2017/5/4,1.375,1.001456664
2017/5/5,1.373,1
2017/5/8,1.372,0.999271668
2017/5/9,1.371,0.998543336
2017/5/10,1.369,0.997086672
2017/5/11,1.37,0.997815004
2017/5/12,1.371,0.998543336
2017/5/15,1.372,0.999271668
2017/5/16,1.374,1.000728332
2017/5/17,1.373,1
2017/5/18,1.373,1
2017/5/19,1.373,1
2017/5/22,1.374,1.000728332
2017/5/23,1.375,1.001456664
2017/5/24,1.375,1.001456664
2017/5/25,1.377,1.002913328
2017/5/26,1.377,1.002913328
2017/5/31,1.378,1.003641661
2017/6/1,1.379,1.004369993
2017/6/2,1.379,1.004369993
2017/6/5,1.378,1.003641661
2017/6/6,1.381,1.005826657
2017/6/7,1.385,1.008739985
2017/6/8,1.388,1.010924982
2017/6/9,1.39,1.012381646
2017/6/12,1.391,1.013109978
2017/6/13,1.393,1.014566642
2017/6/14,1.391,1.013109978
2017/6/15,1.392,1.01383831
2017/6/16,1.392,1.01383831
2017/6/19,1.397,1.017479971
2017/6/20,1.397,1.017479971
2017/6/21,1.401,1.020393299
2017/6/22,1.4,1.019664967
2017/6/23,1.402,1.021121631
2017/6/26,1.406,1.02403496
2017/6/27,1.408,1.025491624
2017/6/28,1.407,1.024763292
2017/6/29,1.408,1.025491624
2017/6/30,1.409,1.026219956
2017/7/3,1.408,1.025491624
2017/7/4,1.406,1.02403496
2017/7/5,1.41,1.026948288
2017/7/6,1.411,1.027676621
2017/7/7,1.409,1.026219956
2017/7/10,1.41,1.026948288
2017/7/11,1.412,1.028404953
2017/7/12,1.412,1.028404953
2017/7/13,1.413,1.029133285
2017/7/14,1.415,1.030589949
2017/7/17,1.414,1.029861617
2017/7/18,1.413,1.029133285
2017/7/19,1.415,1.030589949
2017/7/20,1.417,1.032046613
2017/7/21,1.416,1.031318281
2017/7/24,1.419,1.033503277
2017/7/25,1.417,1.032046613
2017/7/26,1.415,1.030589949
2017/7/27,1.415,1.030589949
2017/7/28,1.416,1.031318281
2017/7/31,1.416,1.031318281
2017/8/1,1.418,1.032774945
2017/8/2,1.417,1.032046613
2017/8/3,1.415,1.030589949
2017/8/4,1.414,1.029861617
2017/8/7,1.415,1.030589949
2017/8/8,1.414,1.029861617
2017/8/9,1.415,1.030589949
2017/8/10,1.414,1.029861617
2017/8/11,1.411,1.027676621
2017/8/14,1.415,1.030589949
2017/8/15,1.416,1.031318281
2017/8/16,1.415,1.030589949
2017/8/17,1.415,1.030589949
2017/8/18,1.415,1.030589949
2017/8/21,1.416,1.031318281
2017/8/22,1.416,1.031318281
2017/8/23,1.416,1.031318281
2017/8/24,1.414,1.029861617
2017/8/25,1.416,1.031318281
2017/8/28,1.418,1.032774945
2017/8/29,1.417,1.032046613
2017/8/30,1.417,1.032046613
2017/8/31,1.416,1.031318281
2017/9/1,1.417,1.032046613
2017/9/4,1.418,1.032774945
2017/9/5,1.419,1.033503277
