date,worth
2010-08-16,1
2010-08-20,1
2010-08-27,1
2010-09-03,1.001
2010-09-09,1.001
2010-09-10,1.001
2010-09-13,1.001
2010-09-14,1.001
2010-09-15,1.001
2010-09-16,1.001
2010-09-17,1.001
2010-09-20,1.001
2010-09-21,1.001
2010-09-27,1.001
2010-09-28,1.001
2010-09-29,1.001
2010-09-30,1.001
2010-10-08,1.002
2010-10-11,1.002
2010-10-12,1.002
2010-10-13,1.002
2010-10-14,1.002
2010-10-15,1.003
2010-10-18,1.003
2010-10-19,1.003
2010-10-20,1.002
2010-10-21,1.001
2010-10-22,1.002
2010-10-25,1.004
2010-10-26,1.003
2010-10-27,1.003
2010-10-28,1.004
2010-10-29,1.003
2010-11-01,1.006
2010-11-02,1.006
2010-11-03,1.006
2010-11-04,1.006
2010-11-05,1.006
2010-11-08,1.005
2010-11-09,1.005
2010-11-10,1.006
2010-11-11,1.007
2010-11-12,1.003
2010-11-15,1.007
2010-11-16,1.003
2010-11-17,0.999
2010-11-18,1.001
2010-11-19,1.004
2010-11-22,1.003
2010-11-23,1.004
2010-11-24,1.006
2010-11-25,1.009
2010-11-26,1.009
2010-11-29,1.008
2010-11-30,1.004
2010-12-01,1.005
2010-12-02,1.006
2010-12-03,1.005
2010-12-06,1.004
2010-12-07,1.006
2010-12-08,1.006
2010-12-09,1.003
2010-12-10,1.006
2010-12-13,1.011
2010-12-14,1.014
2010-12-15,1.013
2010-12-16,1.014
2010-12-17,1.015
2010-12-20,1.014
2010-12-21,1.013
2010-12-22,1.011
2010-12-23,1.007
2010-12-24,1.002
2010-12-27,0.997
2010-12-28,0.996
2010-12-29,1
2010-12-30,1.004
2010-12-31,1.007
2011-01-04,1.01
2011-01-05,1.009
2011-01-06,1.008
2011-01-07,1.009
2011-01-10,1.005
2011-01-11,1.003
2011-01-12,1.004
2011-01-13,1.006
2011-01-14,1.002
2011-01-17,0.995
2011-01-18,0.996
2011-01-19,0.996
2011-01-20,0.992
2011-01-21,0.99
2011-01-24,0.987
2011-01-25,0.986
2011-01-26,0.989
2011-01-27,0.99
2011-01-28,0.991
2011-01-31,0.992
2011-02-01,0.992
2011-02-09,0.988
2011-02-10,0.991
2011-02-11,0.993
2011-02-14,0.996
2011-02-15,0.995
2011-02-16,0.995
2011-02-17,0.995
2011-02-18,0.994
2011-02-21,0.995
2011-02-22,0.993
2011-02-23,0.995
2011-02-24,0.996
2011-02-25,0.996
2011-02-28,0.998
2011-03-01,0.999
2011-03-02,0.999
2011-03-03,0.999
2011-03-04,1.002
2011-03-07,1.005
2011-03-08,1.005
2011-03-09,1.008
2011-03-10,1.006
2011-03-11,1.005
2011-03-14,1.007
2011-03-15,1.006
2011-03-16,1.009
2011-03-17,1.006
2011-03-18,1.008
2011-03-21,1.008
2011-03-22,1.009
2011-03-23,1.011
2011-03-24,1.011
2011-03-25,1.013
2011-03-28,1.012
2011-03-29,1.009
2011-03-30,1.008
2011-03-31,1.007
2011-04-01,1.01
2011-04-06,1.01
2011-04-07,1.011
2011-04-08,1.013
2011-04-11,1.014
2011-04-12,1.014
2011-04-13,1.018
2011-04-14,1.019
2011-04-15,1.02
2011-04-18,1.022
2011-04-19,1.017
2011-04-20,1.018
2011-04-21,1.019
2011-04-22,1.018
2011-04-25,1.015
2011-04-26,1.014
2011-04-27,1.013
2011-04-28,1.011
2011-04-29,1.012
2011-05-03,1.012
2011-05-04,1.01
2011-05-05,1.011
2011-05-06,1.011
2011-05-09,1.013
2011-05-10,1.015
2011-05-11,1.016
2011-05-12,1.015
2011-05-13,1.015
2011-05-16,1.015
2011-05-17,1.014
2011-05-18,1.015
2011-05-19,1.014
2011-05-20,1.014
2011-05-23,1.009
2011-05-24,1.009
2011-05-25,1.007
2011-05-26,1.006
2011-05-27,1.006
2011-05-30,1.005
2011-05-31,1.006
2011-06-01,1.008
2011-06-02,1.005
2011-06-03,1.005
2011-06-07,1.005
2011-06-08,1.004
2011-06-09,1
2011-06-10,1
2011-06-13,1
2011-06-14,1.001
2011-06-15,0.997
2011-06-16,0.994
2011-06-17,0.993
2011-06-20,0.991
2011-06-21,0.993
2011-06-22,0.992
2011-06-23,0.996
2011-06-24,1
2011-06-27,1.002
2011-06-28,1.001
2011-06-29,0.997
2011-06-30,1
2011-07-01,1.002
2011-07-04,1.007
2011-07-05,1.007
2011-07-06,1.007
2011-07-07,1.01
2011-07-08,1.011
2011-07-11,1.013
2011-07-12,1.011
2011-07-13,1.013
2011-07-14,1.016
2011-07-15,1.023
2011-07-18,1.02
2011-07-19,1.018
2011-07-20,1.016
2011-07-21,1.014
2011-07-22,1.016
2011-07-25,1.009
2011-07-26,1.01
2011-07-27,1.012
2011-07-28,1.01
2011-07-29,1.009
2011-08-01,1.009
2011-08-02,1.009
2011-08-03,1.007
2011-08-04,1.009
2011-08-05,1.008
2011-08-08,1.002
2011-08-09,1.003
2011-08-10,1.014
2011-08-11,1.02
2011-08-12,1.026
2011-08-15,1.028
2011-08-16,1.027
2011-08-17,1.027
2011-08-18,1.026
2011-08-19,1.023
2011-08-22,1.021
2011-08-23,1.024
2011-08-24,1.024
2011-08-25,1.027
2011-08-26,1.026
2011-08-29,1.021
2011-08-30,1.017
2011-08-31,1.015
2011-09-01,1.014
2011-09-02,1.012
2011-09-05,1.005
2011-09-06,1.002
2011-09-07,1.006
2011-09-08,1.005
2011-09-09,1.004
2011-09-13,1.004
2011-09-14,1.007
2011-09-15,1.007
2011-09-16,1.008
2011-09-19,1.003
2011-09-20,1.005
2011-09-21,1.009
2011-09-22,1.002
2011-09-23,0.999
2011-09-26,0.997
2011-09-27,0.997
2011-09-28,0.994
2011-09-29,0.991
2011-09-30,0.992
2011-10-10,0.992
2011-10-11,0.994
2011-10-12,0.997
2011-10-13,1
2011-10-14,1.003
2011-10-17,1.006
2011-10-18,1.003
2011-10-19,1.005
2011-10-20,1.011
2011-10-21,1.012
2011-10-24,1.014
2011-10-25,1.016
2011-10-26,1.016
2011-10-27,1.014
2011-10-28,1.016
2011-10-31,1.017
2011-11-01,1.019
2011-11-02,1.024
2011-11-03,1.022
2011-11-04,1.023
2011-11-07,1.022
2011-11-08,1.023
2011-11-09,1.026
2011-11-10,1.03
2011-11-11,1.032
2011-11-14,1.035
2011-11-15,1.041
2011-11-16,1.035
2011-11-17,1.035
2011-11-18,1.03
2011-11-21,1.029
2011-11-22,1.029
2011-11-23,1.03
2011-11-24,1.031
2011-11-25,1.03
2011-11-28,1.03
2011-11-29,1.031
2011-11-30,1.033
2011-12-01,1.039
2011-12-02,1.031
2011-12-05,1.031
2011-12-06,1.033
2011-12-07,1.034
2011-12-08,1.037
2011-12-09,1.036
2011-12-12,1.036
2011-12-13,1.033
2011-12-14,1.03
2011-12-15,1.028
2011-12-16,1.035
2011-12-19,1.036
2011-12-20,1.035
2011-12-21,1.029
2011-12-22,1.027
2011-12-23,1.027
2011-12-26,1.024
2011-12-27,1.018
2011-12-28,1.022
2011-12-29,1.02
2011-12-30,1.033
2011-12-31,1.033
2012-01-04,1.029
2012-01-05,1.024
2012-01-06,1.029
2012-01-09,1.039
2012-01-10,1.047
2012-01-11,1.044
2012-01-12,1.044
2012-01-13,1.031
2012-01-16,1.026
2012-01-17,1.036
2012-01-18,1.03
2012-01-19,1.035
2012-01-20,1.04
2012-01-30,1.039
2012-01-31,1.04
2012-02-01,1.036
2012-02-02,1.042
2012-02-03,1.043
2012-02-06,1.043
2012-02-07,1.039
2012-02-08,1.042
2012-02-09,1.042
2012-02-10,1.043
2012-02-13,1.04
2012-02-14,1.039
2012-02-15,1.042
2012-02-16,1.042
2012-02-17,1.044
2012-02-20,1.045
2012-02-21,1.046
2012-02-22,1.048
2012-02-23,1.048
2012-02-24,1.051
2012-02-27,1.052
2012-02-28,1.051
2012-02-29,1.05
2012-03-01,1.046
2012-03-02,1.048
2012-03-05,1.047
2012-03-06,1.046
2012-03-07,1.045
2012-03-08,1.047
2012-03-09,1.059
2012-03-12,1.058
2012-03-13,1.061
2012-03-14,1.054
2012-03-15,1.052
2012-03-16,1.057
2012-03-19,1.056
2012-03-20,1.053
2012-03-21,1.05
2012-03-22,1.05
2012-03-23,1.049
2012-03-26,1.051
2012-03-27,1.047
2012-03-28,1.042
2012-03-29,1.04
2012-03-30,1.039
2012-03-31,1.039
2012-04-05,1.046
2012-04-06,1.047
2012-04-09,1.045
2012-04-10,1.046
2012-04-11,1.047
2012-04-12,1.051
2012-04-13,1.052
2012-04-16,1.053
2012-04-17,1.05
2012-04-18,1.054
2012-04-19,1.054
2012-04-20,1.056
2012-04-23,1.056
2012-04-24,1.056
2012-04-25,1.056
2012-04-26,1.059
2012-04-27,1.064
2012-05-02,1.066
2012-05-03,1.077
2012-05-04,1.078
2012-05-07,1.08
2012-05-08,1.078
2012-05-09,1.076
2012-05-10,1.079
2012-05-11,1.089
2012-05-14,1.096
2012-05-15,1.101
2012-05-16,1.102
2012-05-17,1.106
2012-05-18,1.108
2012-05-21,1.105
2012-05-22,1.107
2012-05-23,1.108
2012-05-24,1.11
2012-05-25,1.11
2012-05-28,1.11
