date,worth
2015-01-30,1
2015-02-06,0.996
2015-02-13,0.999
2015-02-17,1.004
2015-02-27,1.005
2015-03-06,1.003
2015-03-13,1.008
2015-03-20,1.021
2015-03-27,1.032
2015-04-03,1.046
2015-04-10,1.052
2015-04-17,1.056
2015-04-24,1.066
2015-04-30,1.074
2015-05-08,1.086
2015-05-15,1.118
2015-05-22,1.161
2015-05-29,1.172
2015-06-05,1.195
2015-06-12,1.197
2015-06-19,1.156
2015-06-26,1.144
2015-06-30,1.143
2015-07-03,1.133
2015-07-10,1.133
2015-07-17,1.138
2015-07-22,1.143
2015-07-23,1.146
2015-07-24,1.146
2015-07-29,1.142
2015-07-30,1.142
2015-07-31,1.141
2015-08-03,1.141
2015-08-07,1.145
2015-08-14,1.149
2015-08-21,1.145
2015-08-28,1.143
2015-09-02,1.143
2015-09-11,1.145
2015-09-18,1.145
2015-09-25,1.143
2015-09-30,1.144
2015-10-09,1.145
2015-10-16,1.149
2015-10-23,1.151
2015-10-30,1.156
2015-11-06,1.159
2015-11-13,1.157
2015-11-20,1.161
2015-11-27,1.157
2015-12-04,1.159
2015-12-11,1.16
2015-12-18,1.17
2015-12-25,1.175
2015-12-31,1.175
2016-01-08,1.161
2016-01-15,1.157
2016-01-20,1.16
2016-01-22,1.159
2016-01-29,1.149
2016-02-02,1.149
2016-02-03,1.149
2016-02-04,1.151
2016-02-05,1.151
2016-02-19,1.156
2016-02-26,1.153
2016-03-04,1.154
2016-03-11,1.156
2016-03-18,1.164
2016-03-25,1.167
2016-04-01,1.168
2016-04-08,1.168
2016-04-15,1.166
2016-04-22,1.157
2016-04-29,1.156
2016-05-06,1.157
2016-05-13,1.156
2016-05-20,1.155
2016-05-27,1.159
2016-06-03,1.165
2016-06-08,1.166
2016-06-17,1.17
2016-06-24,1.17
2016-06-30,1.177
2016-07-01,1.177
2016-07-08,1.184
2016-07-15,1.188
2016-07-22,1.19
2016-07-29,1.188
2016-08-05,1.189
2016-08-08,1.191
2016-08-09,1.193
2016-08-10,1.193
2016-08-12,1.193
2016-08-16,1.196
2016-08-19,1.196
2016-08-26,1.195
2016-09-02,1.194
2016-09-09,1.196
2016-09-14,1.194
2016-09-23,1.197
2016-09-30,1.199
2016-10-14,1.203
2016-10-21,1.204
2016-10-28,1.204
2016-11-04,1.205
2016-11-11,1.206
2016-11-18,1.203
2016-11-25,1.205
2016-12-02,1.199
2016-12-09,1.198
2016-12-16,1.181
2016-12-23,1.177
2016-12-27,1.179
2016-12-30,1.181
2016-12-31,1.181
2017-01-06,1.184
2017-01-13,1.183
2017-01-20,1.182
2017-01-26,1.185
2017-02-03,1.184
2017-02-10,1.183
2017-02-13,1.185
2017-02-14,1.186
2017-02-15,1.185
2017-02-17,1.185
2017-02-24,1.188
2017-03-03,1.188
2017-03-10,1.189
2017-03-17,1.19
2017-03-24,1.193
2017-03-31,1.186
2017-04-07,1.19
2017-04-14,1.189
2017-04-21,1.189
2017-04-28,1.186
2017-05-05,1.182
2017-05-12,1.18
2017-05-19,1.181
2017-05-26,1.182
2017-06-02,1.181
2017-06-09,1.184
2017-06-16,1.186
2017-06-23,1.191
2017-06-30,1.197
2017-07-07,1.199
2017-07-14,1.2
2017-07-21,1.201
2017-07-28,1.203
2017-08-04,1.202
2017-08-11,1.2
2017-08-15,1.203
2017-08-16,1.204
2017-08-17,1.203
2017-08-18,1.203
2017-08-25,1.203
2017-08-30,1.205
2017-09-01,1.206
2017-09-08,1.207
2017-09-15,1.213
2017-09-22,1.214
2017-09-29,1.217
2017-10-13,1.221
2017-10-20,1.222
2017-10-27,1.228
2017-11-03,1.227
2017-11-10,1.237
2017-11-17,1.231
2017-11-24,1.224
2017-11-29,1.223
2017-12-01,1.222
2017-12-08,1.223
2017-12-15,1.224
2017-12-22,1.227
2017-12-29,1.227
2017-12-31,1.227
2018-01-05,1.234
2018-01-12,1.238
2018-01-19,1.24
2018-01-26,1.247
2018-02-02,1.243
2018-02-09,1.228
2018-02-14,1.234
2018-02-22,1.24
2018-02-23,1.24
2018-02-26,1.241
2018-03-02,1.233
2018-03-09,1.235
2018-03-16,1.234
2018-03-23,1.23
2018-03-30,1.234
2018-04-04,1.236
2018-04-13,1.239
2018-04-20,1.239
2018-04-27,1.241
2018-05-04,1.244
2018-05-11,1.245
2018-05-18,1.245
2018-05-25,1.247
2018-06-01,1.246
2018-06-08,1.248
2018-06-15,1.244
2018-06-22,1.243
2018-06-29,1.244
2018-06-30,1.244
2018-07-06,1.244
2018-07-13,1.254
2018-07-20,1.254
2018-07-27,1.258
2018-08-03,1.257
2018-08-08,1.257
2018-08-10,1.257
2018-08-17,1.251
2018-08-24,1.253
2018-08-27,1.256
2018-08-28,1.256
2018-08-29,1.255
2018-08-31,1.255
2018-09-07,1.253
2018-09-14,1.25
2018-09-21,1.256
2018-09-28,1.259
2018-10-12,1.251
2018-10-19,1.254
2018-10-26,1.254
2018-11-02,1.255
2018-11-09,1.25
2018-11-16,1.253
2018-11-23,1.25
2018-11-30,1.25
2018-12-07,1.251
2018-12-14,1.251
2018-12-21,1.24
2018-12-28,1.243
2018-12-31,1.243
2019-01-04,1.247
2019-01-11,1.252
2019-01-18,1.255
2019-01-25,1.256
2019-02-01,1.259
2019-02-15,1.262
2019-02-22,1.268
2019-02-28,1.269
2019-03-01,1.269
2019-03-04,1.27
2019-03-05,1.27
2019-03-08,1.267
2019-03-15,1.269
2019-03-22,1.274
2019-03-29,1.279
2019-04-04,1.284
2019-04-12,1.273
2019-04-19,1.277
2019-04-26,1.274
2019-04-30,1.276
2019-05-10,1.274
2019-05-17,1.275
2019-05-24,1.271
2019-05-31,1.275
2019-06-06,1.27
2019-06-14,1.275
2019-06-21,1.283
2019-06-28,1.29
2019-06-30,1.29
2019-07-05,1.294
2019-07-12,1.293
2019-07-19,1.292
2019-07-26,1.297
2019-08-02,1.298
2019-08-09,1.3
2019-08-16,1.307
2019-08-23,1.311
2019-08-30,1.313
2019-09-05,1.315
2019-09-06,1.316
2019-09-09,1.318
2019-09-10,1.317
2019-09-12,1.315
2019-09-20,1.316
2019-09-27,1.314
2019-09-30,1.313
2019-10-11,1.317
2019-10-18,1.318
2019-10-25,1.317
2019-11-01,1.321
2019-11-08,1.324
2019-11-15,1.322
2019-11-22,1.32
2019-11-29,1.318
2019-12-06,1.319
2019-12-13,1.32
2019-12-20,1.322
2019-12-27,1.322
2019-12-31,1.327
2020-01-03,1.33
2020-01-10,1.336
2020-01-17,1.341
2020-01-23,1.338
2020-02-07,1.341
2020-02-14,1.349
2020-02-21,1.367
2020-02-28,1.355
2020-03-06,1.365
2020-03-10,1.362
2020-03-11,1.36
2020-03-12,1.356
2020-03-13,1.354
2020-03-20,1.346
2020-03-27,1.356
2020-04-03,1.361
2020-04-10,1.374
2020-04-17,1.38
2020-04-24,1.386
2020-04-30,1.386
2020-05-08,1.391
2020-05-15,1.393
