date,worth
2016-11-28,1
2016-12-02,1.0001
2016-12-08,1.0001
2016-12-09,1.0001
2016-12-12,1.0001
2016-12-13,1.0002
2016-12-14,1.0012
2016-12-15,1.0016
2016-12-16,1.0016
2016-12-19,1.0016
2016-12-20,1.0016
2016-12-21,1.0016
2016-12-22,1.0016
2016-12-23,1.0012
2016-12-26,1.0005
2016-12-27,1.0008
2016-12-28,1.0008
2016-12-29,1.0009
2016-12-30,1.0012
2016-12-31,1.0012
2017-01-03,1.0021
2017-01-04,1.0027
2017-01-05,1.002
2017-01-06,1.0008
2017-01-09,1.0045
2017-01-10,1.0038
2017-01-11,1.004
2017-01-12,1.0036
2017-01-13,1.0039
2017-01-16,1.0045
2017-01-17,1.0046
2017-01-18,1.0052
2017-01-19,1.0053
2017-01-20,1.0079
2017-01-23,1.0113
2017-01-24,1.0117
2017-01-25,1.0116
2017-01-26,1.0105
2017-02-03,1.0052
2017-02-06,1.0053
2017-02-07,1.007
2017-02-08,1.0075
2017-02-09,1.008
2017-02-10,1.0078
2017-02-13,1.0079
2017-02-14,1.0065
2017-02-15,1.0061
2017-02-16,1.006
2017-02-17,1.0047
2017-02-20,1.0066
2017-02-21,1.0077
2017-02-22,1.0077
2017-02-23,1.0078
2017-02-24,1.0082
2017-02-27,1.0079
2017-02-28,1.0081
2017-03-01,1.0081
2017-03-02,1.0075
2017-03-03,1.0068
2017-03-06,1.0075
2017-03-07,1.0069
2017-03-08,1.0069
2017-03-09,1.0067
2017-03-10,1.0068
2017-03-13,1.007
2017-03-14,1.0075
2017-03-15,1.0079
2017-03-16,1.0084
2017-03-17,1.0061
2017-03-20,1.0056
2017-03-21,1.0074
2017-03-22,1.01
2017-03-23,1.0112
2017-03-24,1.0121
2017-03-27,1.011
2017-03-28,1.0085
2017-03-29,1.0086
2017-03-30,1.0086
2017-03-31,1.008
2017-04-05,1.0111
2017-04-06,1.0133
2017-04-07,1.0148
2017-04-10,1.0179
2017-04-11,1.0191
2017-04-12,1.0178
2017-04-13,1.0174
2017-04-14,1.0163
2017-04-17,1.0161
2017-04-18,1.0164
2017-04-19,1.0158
2017-04-20,1.0178
2017-04-21,1.0175
2017-04-24,1.0118
2017-04-25,1.0088
2017-04-26,1.0068
2017-04-27,1.0092
2017-04-28,1.0084
2017-05-02,1.0097
2017-05-03,1.0097
2017-05-04,1.009
2017-05-05,1.0086
2017-05-08,1.008
2017-05-09,1.0077
2017-05-10,1.0057
2017-05-11,1.0074
2017-05-12,1.0092
2017-05-15,1.0091
2017-05-16,1.0101
2017-05-17,1.0087
2017-05-18,1.0065
2017-05-19,1.0058
2017-05-22,1.0066
2017-05-23,1.0065
2017-05-24,1.0064
2017-05-25,1.0083
2017-05-26,1.0111
2017-05-31,1.013
2017-06-01,1.0144
2017-06-02,1.014
2017-06-05,1.0136
2017-06-06,1.0158
2017-06-07,1.0167
2017-06-08,1.018
2017-06-09,1.0185
2017-06-12,1.0185
2017-06-13,1.0195
2017-06-14,1.0184
2017-06-15,1.0191
2017-06-16,1.0188
2017-06-19,1.0213
2017-06-20,1.0202
2017-06-21,1.021
2017-06-22,1.0209
2017-06-23,1.0203
2017-06-26,1.022
2017-06-27,1.0219
2017-06-28,1.0214
2017-06-29,1.0218
2017-06-30,1.0243
2017-07-03,1.0248
2017-07-04,1.0235
2017-07-05,1.0247
2017-07-06,1.0259
2017-07-07,1.0251
2017-07-10,1.0241
2017-07-11,1.024
2017-07-12,1.0246
2017-07-13,1.0249
2017-07-14,1.0263
2017-07-17,1.025
2017-07-18,1.0251
2017-07-19,1.0257
2017-07-20,1.0252
2017-07-21,1.0253
2017-07-24,1.0274
2017-07-25,1.0281
2017-07-26,1.0273
2017-07-27,1.0266
2017-07-28,1.0273
2017-07-31,1.0253
2017-08-01,1.0236
2017-08-02,1.0224
2017-08-03,1.0222
2017-08-04,1.0227
2017-08-07,1.0233
2017-08-08,1.0227
2017-08-09,1.0242
2017-08-10,1.0241
2017-08-11,1.0229
2017-08-14,1.0235
2017-08-15,1.0233
2017-08-16,1.0233
2017-08-17,1.0234
2017-08-18,1.0243
2017-08-21,1.0251
2017-08-22,1.0246
2017-08-23,1.0245
2017-08-24,1.0246
2017-08-25,1.0247
2017-08-28,1.0253
2017-08-29,1.0255
2017-08-30,1.0255
2017-08-31,1.0264
2017-09-01,1.0273
2017-09-04,1.0282
2017-09-05,1.0287
2017-09-06,1.0288
2017-09-07,1.0281
2017-09-08,1.0281
2017-09-11,1.0292
2017-09-12,1.0285
2017-09-13,1.0292
2017-09-14,1.0288
2017-09-15,1.0296
2017-09-18,1.0302
2017-09-19,1.0304
2017-09-20,1.0309
2017-09-21,1.0305
2017-09-22,1.031
2017-09-25,1.0309
2017-09-26,1.0302
2017-09-27,1.0313
2017-09-28,1.0318
2017-09-29,1.0324
2017-10-09,1.0341
2017-10-10,1.0341
2017-10-11,1.0343
2017-10-12,1.0345
2017-10-13,1.0351
2017-10-16,1.0347
2017-10-17,1.0344
2017-10-18,1.035
2017-10-19,1.0351
2017-10-20,1.0357
2017-10-23,1.0368
2017-10-24,1.037
2017-10-25,1.0385
2017-10-26,1.0384
2017-10-27,1.0386
2017-10-30,1.0373
2017-10-31,1.0379
2017-11-01,1.0382
2017-11-02,1.037
2017-11-03,1.0368
2017-11-06,1.0374
2017-11-07,1.0379
2017-11-08,1.0383
2017-11-09,1.0391
2017-11-10,1.0404
2017-11-13,1.0416
2017-11-14,1.0406
2017-11-15,1.0392
2017-11-16,1.0394
2017-11-17,1.0371
2017-11-20,1.0382
2017-11-21,1.0374
2017-11-22,1.0373
2017-11-23,1.0346
2017-11-24,1.0343
2017-11-27,1.0342
2017-11-28,1.0348
2017-11-29,1.0346
2017-11-30,1.034
2017-12-01,1.0349
2017-12-04,1.0352
2017-12-05,1.0345
2017-12-06,1.0352
2017-12-07,1.0353
2017-12-08,1.0362
2017-12-11,1.0371
2017-12-12,1.0362
2017-12-13,1.0365
2017-12-14,1.0367
2017-12-15,1.0362
2017-12-18,1.0368
2017-12-19,1.0374
2017-12-20,1.0377
2017-12-21,1.0381
2017-12-22,1.0375
2017-12-25,1.0376
2017-12-26,1.0382
2017-12-27,1.0365
2017-12-28,1.037
2017-12-29,1.0385
2017-12-31,1.0388
2018-01-02,1.0407
2018-01-03,1.0428
2018-01-04,1.0432
2018-01-05,1.0432
2018-01-08,1.0444
2018-01-09,1.046
2018-01-10,1.0437
2018-01-11,1.045
2018-01-12,1.044
2018-01-15,1.0412
2018-01-16,1.0446
2018-01-17,1.0437
2018-01-18,1.044
2018-01-19,1.0426
2018-01-22,1.0436
2018-01-23,1.0456
2018-01-24,1.0448
2018-01-25,1.0438
2018-01-26,1.0441
2018-01-29,1.0411
2018-01-30,1.0405
2018-01-31,1.0443
2018-02-01,1.0412
2018-02-02,1.0413
2018-02-05,1.0422
2018-02-06,1.0352
2018-02-07,1.0334
2018-02-08,1.0337
2018-02-09,1.0321
2018-02-12,1.0346
2018-02-13,1.0353
2018-02-14,1.0359
2018-02-22,1.038
2018-02-23,1.0384
2018-02-26,1.0393
2018-02-27,1.0394
2018-02-28,1.0406
2018-03-01,1.041
2018-03-02,1.0408
2018-03-05,1.0417
2018-03-06,1.0421
2018-03-07,1.0414
2018-03-08,1.0421
2018-03-09,1.0438
2018-03-12,1.0443
2018-03-13,1.0436
2018-03-14,1.0435
2018-03-15,1.0437
2018-03-16,1.0437
2018-03-19,1.0435
2018-03-20,1.0438
2018-03-21,1.0431
2018-03-22,1.0426
2018-03-23,1.0401
2018-03-26,1.0418
2018-03-27,1.0431
2018-03-28,1.0422
2018-03-29,1.0427
2018-03-30,1.0444
2018-04-02,1.0448
2018-04-03,1.0447
2018-04-04,1.0452
2018-04-09,1.0461
2018-04-10,1.0475
2018-04-11,1.0484
2018-04-12,1.0483
2018-04-13,1.0485
2018-04-16,1.0488
2018-04-17,1.0483
2018-04-18,1.051
2018-04-19,1.0495
2018-04-20,1.0483
2018-04-23,1.0469
2018-04-24,1.0482
2018-04-25,1.0479
2018-04-26,1.0455
2018-04-27,1.0447
2018-05-02,1.0455
2018-05-03,1.0461
2018-05-04,1.0462
2018-05-07,1.047
2018-05-08,1.047
2018-05-09,1.0466
2018-05-10,1.0471
2018-05-11,1.047
2018-05-14,1.0471
2018-05-15,1.0474
2018-05-16,1.0483
2018-05-17,1.0477
2018-05-18,1.0474
2018-05-21,1.0488
2018-05-22,1.0495
2018-05-23,1.049
2018-05-24,1.0487
2018-05-25,1.0487
2018-05-28,1.0508
2018-05-29,1.0498
2018-05-30,1.0497
2018-05-31,1.052
2018-06-01,1.05
2018-06-04,1.0528
2018-06-05,1.0543
2018-06-06,1.0541
2018-06-07,1.053
2018-06-08,1.0525
2018-06-11,1.0519
2018-06-12,1.0531
2018-06-13,1.0522
2018-06-14,1.0513
2018-06-15,1.0496
2018-06-19,1.0458
2018-06-20,1.0477
2018-06-21,1.0456
2018-06-22,1.0468
2018-06-25,1.0481
2018-06-26,1.0472
2018-06-27,1.0452
2018-06-28,1.0458
2018-06-29,1.0487
2018-06-30,1.0488
2018-07-02,1.0476
2018-07-03,1.0477
2018-07-04,1.047
2018-07-05,1.0452
2018-07-06,1.046
2018-07-09,1.0482
2018-07-10,1.048
2018-07-11,1.0453
2018-07-12,1.0485
2018-07-13,1.0494
