date,worth
2016-06-13,1
2016-06-17,0.9995
2016-06-24,0.9998
2016-06-30,1.0007
2016-07-01,1.0015
2016-07-08,1.0072
2016-07-15,1.0133
2016-07-22,1.0145
2016-07-29,1.0179
2016-08-05,1.0198
2016-08-12,1.0265
2016-08-17,1.0285
2016-08-18,1.0285
2016-08-19,1.0286
2016-08-22,1.0289
2016-08-23,1.0278
2016-08-24,1.0269
2016-08-25,1.0264
2016-08-26,1.0273
2016-08-29,1.0276
2016-08-30,1.0272
2016-08-31,1.0275
2016-09-01,1.0269
2016-09-02,1.0266
2016-09-05,1.0276
2016-09-06,1.0286
2016-09-07,1.0284
2016-09-08,1.0286
2016-09-09,1.0283
2016-09-12,1.0255
2016-09-13,1.0257
2016-09-14,1.0254
2016-09-19,1.026
2016-09-20,1.0261
2016-09-21,1.0259
2016-09-22,1.0265
2016-09-23,1.0268
2016-09-26,1.0258
2016-09-27,1.0266
2016-09-28,1.0266
2016-09-29,1.0273
2016-09-30,1.028
2016-10-10,1.0307
2016-10-11,1.0314
2016-10-12,1.0312
2016-10-13,1.0319
2016-10-14,1.0324
2016-10-17,1.0323
2016-10-18,1.033
2016-10-19,1.033
2016-10-20,1.0332
2016-10-21,1.0334
2016-10-24,1.0334
2016-10-25,1.0336
2016-10-26,1.0318
2016-10-27,1.0312
2016-10-28,1.0308
2016-10-31,1.0304
2016-11-01,1.0311
2016-11-02,1.0306
2016-11-03,1.031
2016-11-04,1.0306
2016-11-07,1.0305
2016-11-08,1.0306
2016-11-09,1.0304
2016-11-10,1.0314
2016-11-11,1.0315
2016-11-14,1.0313
2016-11-15,1.0302
2016-11-16,1.0301
2016-11-17,1.0296
2016-11-18,1.0285
2016-11-21,1.0295
2016-11-22,1.0299
2016-11-23,1.0306
2016-11-24,1.0311
2016-11-25,1.0321
2016-11-28,1.0326
2016-11-29,1.0328
2016-11-30,1.0314
2016-12-01,1.0321
2016-12-02,1.03
2016-12-05,1.0279
2016-12-06,1.0267
2016-12-07,1.0271
2016-12-08,1.0267
2016-12-09,1.0272
2016-12-12,1.0231
2016-12-13,1.0212
2016-12-14,1.0178
2016-12-15,1.0072
2016-12-16,1.008
2016-12-19,1.0052
2016-12-20,1.0032
2016-12-21,1.0034
2016-12-22,1.0051
2016-12-23,1.0055
2016-12-26,1.0066
2016-12-27,1.0067
2016-12-28,1.0064
2016-12-29,1.0075
2016-12-30,1.0103
2016-12-31,1.0104
2017-01-03,1.0122
2017-01-04,1.0133
2017-01-05,1.0136
2017-01-06,1.0138
2017-01-09,1.0152
2017-01-10,1.0158
2017-01-11,1.0152
2017-01-12,1.0146
2017-01-13,1.0142
2017-01-16,1.0135
2017-01-17,1.014
2017-01-18,1.0134
2017-01-19,1.012
2017-01-20,1.0131
2017-01-23,1.0142
2017-01-24,1.0142
2017-01-25,1.0144
2017-01-26,1.0147
2017-02-03,1.014
2017-02-06,1.0136
2017-02-07,1.012
2017-02-08,1.0107
2017-02-09,1.0104
2017-02-10,1.0103
2017-02-13,1.0115
2017-02-14,1.0111
2017-02-15,1.0097
2017-02-16,1.0112
2017-02-17,1.0105
2017-02-20,1.0131
2017-02-21,1.0138
2017-02-22,1.0148
2017-02-23,1.0149
2017-02-24,1.015
2017-02-27,1.0135
2017-02-28,1.014
2017-03-01,1.0141
2017-03-02,1.0133
2017-03-03,1.0145
2017-03-06,1.0147
2017-03-07,1.0144
2017-03-08,1.0137
2017-03-09,1.0117
2017-03-10,1.0119
2017-03-13,1.013
2017-03-14,1.0132
2017-03-15,1.0137
2017-03-16,1.016
2017-03-17,1.0145
2017-03-20,1.0146
2017-03-21,1.0148
2017-03-22,1.0148
2017-03-23,1.0144
2017-03-24,1.0173
2017-03-27,1.0172
2017-03-28,1.0165
2017-03-29,1.0167
2017-03-30,1.0127
2017-03-31,1.0129
2017-04-05,1.0171
2017-04-06,1.0189
2017-04-07,1.021
2017-04-10,1.0225
2017-04-11,1.0238
2017-04-12,1.0231
2017-04-13,1.0243
2017-04-14,1.023
2017-04-17,1.022
2017-04-18,1.021
2017-04-19,1.0199
2017-04-20,1.0189
2017-04-21,1.0196
2017-04-24,1.0162
2017-04-25,1.0166
2017-04-26,1.0156
2017-04-27,1.0155
2017-04-28,1.0152
2017-05-02,1.0143
2017-05-03,1.0137
2017-05-04,1.013
2017-05-05,1.0116
2017-05-08,1.0102
2017-05-09,1.0094
2017-05-10,1.0068
2017-05-11,1.0066
2017-05-12,1.0068
2017-05-15,1.0081
2017-05-16,1.0085
2017-05-17,1.0074
2017-05-18,1.0073
2017-05-19,1.0075
2017-05-22,1.0082
2017-05-23,1.0081
2017-05-24,1.0081
2017-05-25,1.0106
2017-05-26,1.0114
2017-05-31,1.0123
2017-06-01,1.0134
2017-06-02,1.0129
2017-06-05,1.0131
2017-06-06,1.0138
2017-06-07,1.0161
2017-06-08,1.0185
2017-06-09,1.0199
2017-06-12,1.0217
2017-06-13,1.0226
2017-06-14,1.0212
2017-06-15,1.0216
2017-06-16,1.0214
2017-06-19,1.0248
2017-06-20,1.0265
2017-06-21,1.0284
2017-06-22,1.0292
2017-06-23,1.0301
2017-06-26,1.0326
2017-06-27,1.0338
2017-06-28,1.0328
2017-06-29,1.0349
2017-06-30,1.0367
2017-07-03,1.0374
2017-07-04,1.0359
2017-07-05,1.0374
2017-07-06,1.0388
2017-07-07,1.0385
2017-07-10,1.0389
2017-07-11,1.0394
2017-07-12,1.0395
2017-07-13,1.0401
2017-07-14,1.0418
2017-07-17,1.0415
2017-07-18,1.0412
2017-07-19,1.0439
2017-07-20,1.0462
2017-07-21,1.0468
2017-07-24,1.0476
2017-07-25,1.0463
2017-07-26,1.0463
2017-07-27,1.0469
2017-07-28,1.0474
2017-07-31,1.0499
2017-08-01,1.0502
2017-08-02,1.0502
2017-08-03,1.0495
2017-08-04,1.0484
2017-08-07,1.0494
2017-08-08,1.0492
2017-08-09,1.0499
2017-08-10,1.049
2017-08-11,1.0468
2017-08-14,1.049
2017-08-15,1.0496
2017-08-16,1.0484
2017-08-17,1.0487
2017-08-18,1.0493
2017-08-21,1.0496
2017-08-22,1.0497
2017-08-23,1.0482
2017-08-24,1.0467
2017-08-25,1.0482
2017-08-28,1.0489
2017-08-29,1.0492
2017-08-30,1.0485
2017-08-31,1.048
2017-09-01,1.0489
2017-09-04,1.0505
2017-09-05,1.0517
2017-09-06,1.0511
2017-09-07,1.0498
