date,worth
2008-11-12,1
2008-11-14,1
2008-11-21,1.001
2008-11-26,1.001
2008-11-27,1.004
2008-11-28,1.003
2008-12-01,1.003
2008-12-02,1.004
2008-12-03,1.005
2008-12-04,1.007
2008-12-05,1.009
2008-12-08,1.009
2008-12-09,1.007
2008-12-10,1.008
2008-12-11,1.009
2008-12-12,1.01
2008-12-15,1.011
2008-12-16,1.012
2008-12-17,1.015
2008-12-18,1.019
2008-12-19,1.021
2008-12-22,1.02
2008-12-23,1.02
2008-12-24,1.018
2008-12-25,1.018
2008-12-26,1.018
2008-12-29,1.018
2008-12-30,1.017
2008-12-31,1.018
2009-01-05,1.019
2009-01-06,1.02
2009-01-07,1.021
2009-01-08,1.021
2009-01-09,1.022
2009-01-12,1.021
2009-01-13,1.02
2009-01-14,1.019
2009-01-15,1.016
2009-01-16,1.015
2009-01-19,1.014
2009-01-20,1.012
2009-01-21,1.011
2009-01-22,1.013
2009-01-23,1.014
2009-02-02,1.014
2009-02-03,1.014
2009-02-04,1.015
2009-02-05,1.012
2009-02-06,1.016
2009-02-09,1.02
2009-02-10,1.019
2009-02-11,1.02
2009-02-12,1.02
2009-02-13,1.022
2009-02-16,1.025
2009-02-17,1.021
2009-02-18,1.018
2009-02-19,1.02
2009-02-20,1.023
2009-02-23,1.027
2009-02-24,1.024
2009-02-25,1.025
2009-02-26,1.019
2009-02-27,1.018
2009-03-02,1.021
2009-03-03,1.022
2009-03-04,1.027
2009-03-05,1.026
2009-03-06,1.023
2009-03-09,1.021
2009-03-10,1.021
2009-03-11,1.022
2009-03-12,1.021
2009-03-13,1.022
2009-03-16,1.022
2009-03-17,1.025
2009-03-18,1.026
2009-03-19,1.027
2009-03-20,1.026
2009-03-23,1.028
2009-03-24,1.027
2009-03-25,1.024
2009-03-26,1.026
2009-03-27,1.027
2009-03-30,1.027
2009-03-31,1.027
2009-04-01,1.028
2009-04-02,1.029
2009-04-03,1.029
2009-04-07,1.029
2009-04-08,1.022
2009-04-09,1.022
2009-04-10,1.026
2009-04-13,1.03
2009-04-14,1.031
2009-04-15,1.032
2009-04-16,1.033
2009-04-17,1.028
2009-04-20,1.034
2009-04-21,1.034
2009-04-22,1.024
2009-04-23,1.024
2009-04-24,1.022
2009-04-27,1.012
2009-04-28,1.011
2009-04-29,1.018
2009-04-30,1.022
2009-05-04,1.029
2009-05-05,1.03
2009-05-06,1.033
2009-05-07,1.033
2009-05-08,1.031
2009-05-11,1.024
2009-05-12,1.029
2009-05-13,1.031
2009-05-14,1.03
2009-05-15,1.029
2009-05-18,1.03
2009-05-19,1.034
2009-05-20,1.033
2009-05-21,1.027
2009-05-22,1.028
2009-05-25,1.028
2009-05-26,1.027
2009-05-27,1.032
2009-06-01,1.045
2009-06-02,1.046
2009-06-03,1.052
2009-06-04,1.06
2009-06-05,1.06
2009-06-08,1.06
2009-06-09,1.062
2009-06-10,1.064
2009-06-11,1.063
2009-06-12,1.056
2009-06-15,1.058
2009-06-16,1.057
2009-06-17,1.061
2009-06-18,1.065
2009-06-19,1.069
2009-06-22,1.07
2009-06-23,1.07
2009-06-24,1.074
2009-06-25,1.078
2009-06-26,1.08
2009-06-29,1.084
2009-06-30,1.082
2009-07-01,1.095
2009-07-02,1.103
2009-07-03,1.108
2009-07-06,1.118
2009-07-07,1.112
2009-07-08,1.115
2009-07-09,1.122
2009-07-10,1.121
2009-07-13,1.121
2009-07-14,1.136
2009-07-15,1.147
2009-07-16,1.145
2009-07-17,1.153
2009-07-20,1.158
2009-07-21,1.152
2009-07-22,1.161
2009-07-23,1.165
2009-07-24,1.162
2009-07-27,1.178
2009-07-28,1.188
2009-07-29,1.153
2009-07-30,1.158
2009-07-31,1.179
2009-08-03,1.197
2009-08-04,1.192
2009-08-05,1.182
2009-08-06,1.172
2009-08-07,1.15
2009-08-10,1.144
2009-08-11,1.15
2009-08-12,1.132
2009-08-13,1.138
2009-08-14,1.12
2009-08-17,1.081
2009-08-18,1.084
2009-08-19,1.055
2009-08-20,1.072
2009-08-21,1.084
2009-08-24,1.091
2009-08-25,1.073
2009-08-26,1.083
2009-08-27,1.078
2009-08-28,1.056
2009-08-31,1.015
2009-09-01,1.016
2009-09-02,1.018
2009-09-03,1.039
2009-09-04,1.041
2009-09-07,1.045
2009-09-08,1.054
2009-09-09,1.059
2009-09-10,1.059
2009-09-11,1.065
2009-09-14,1.07
2009-09-15,1.071
2009-09-16,1.065
2009-09-17,1.07
2009-09-18,1.056
2009-09-21,1.059
2009-09-22,1.05
2009-09-23,1.04
2009-09-24,1.039
2009-09-25,1.038
2009-09-28,1.03
2009-09-29,1.027
2009-09-30,1.032
2009-10-09,1.05
2009-10-12,1.05
2009-10-13,1.056
2009-10-14,1.061
2009-10-15,1.06
2009-10-16,1.061
2009-10-19,1.078
2009-10-20,1.084
2009-10-21,1.084
2009-10-22,1.08
2009-10-23,1.091
2009-10-26,1.092
2009-10-27,1.075
2009-10-28,1.079
2009-10-29,1.063
2009-10-30,1.07
2009-11-02,1.09
2009-11-03,1.098
2009-11-04,1.101
2009-11-05,1.107
2009-11-06,1.107
2009-11-09,1.111
2009-11-10,1.115
2009-11-11,1.117
2009-11-12,1.119
2009-11-13,1.126
2009-11-16,1.146
2009-11-17,1.145
2009-11-18,1.144
2009-11-19,1.148
2009-11-20,1.152
2009-11-23,1.16
2009-11-24,1.138
2009-11-25,1.162
2009-11-26,1.13
2009-11-27,1.11
2009-11-30,1.139
2009-12-01,1.152
2009-12-02,1.158
2009-12-03,1.158
2009-12-04,1.154
2009-12-07,1.161
2009-12-08,1.154
2009-12-09,1.143
2009-12-10,1.146
2009-12-11,1.148
2009-12-14,1.148
2009-12-15,1.147
2009-12-16,1.144
2009-12-17,1.125
2009-12-18,1.106
2009-12-21,1.11
2009-12-22,1.098
2009-12-23,1.108
2009-12-24,1.133
2009-12-25,1.135
2009-12-28,1.143
2009-12-29,1.148
2009-12-30,1.151
2009-12-31,1.155
2010-01-04,1.156
2010-01-05,1.164
2010-01-06,1.164
2010-01-07,1.149
2010-01-08,1.151
2010-01-11,1.154
2010-01-12,1.166
2010-01-13,1.149
2010-01-14,1.164
2010-01-15,1.173
2010-01-18,1.185
2010-01-19,1.186
2010-01-20,1.158
2010-01-21,1.157
2010-01-22,1.14
2010-01-25,1.135
2010-01-26,1.108
2010-01-27,1.104
2010-01-28,1.11
2010-01-29,1.111
2010-02-01,1.101
2010-02-02,1.097
2010-02-03,1.109
2010-02-04,1.106
2010-02-05,1.095
